username,first name,last name,set password,groups
rfumewari,ruko,fumewari,1,watsuhaa,mosu,karinimi
yoreyu,yoto,oreyu,1,kofukare
mremo,matou,remo,1,watsuhaa,honokuka
ssunaomo,sou,sunaomo,1,fuyano
kkakiu,kini,kakiu,1,nohetsunu
iminoki,ita,minoki,1,hotsuwako,more
tkikena,teyuru,kikena,0,fuyano,kofukare
rkehahe,rimo,kehahe,0,watsuhaa
ksesumito,kokasosu,sesumito,0,nohetsunu
nriru,numia,riru,0,fuyano
sachi,sachiyo,achi,0,mosu
yinushiyu,yore,inushiyu,0,watsuhaa
rkufumumo,ruta,kufumumo,0,nohetsunu
hsaihi,hanayoki,saihi,0,more
cniriu,chii,niriu,0,hotsuwako
smifumu,sato,mifumu,0,watsuhaa
woeha,wamiki,oeha,0,mosu,fuyano
knkakise,komu,nkakise,0,more
mtera,musauni,tera,0,kofukare
tchiko,tsusako,chiko,0,kofukare
ymonitsuta,yunoho,monitsuta,0,more
knunofu,kohihou,nunofu,0,more
skoreheyu,susureko,koreheyu,0,kofukare,nohetsunu
krukoka,keruora,rukoka,1,numuto
mruri,musoshi,ruri,0,fuyano
mnimuuso,mun,nimuuso,0,kofukare
eyoi,ero,yoi,0,honokuka
rheke,ruhou,heke,0,honokuka
oete,oroki,ete,0,nohetsunu,fuyano
hoko,hiene,oko,0,more
froi,fute,roi,0,numuto
yruaku,yosuhee,ruaku,0,karinimi,karinimi
nsuwanu,neneri,suwanu,0,kofukare
srunire,sasanutsu,runire,0,mosu,numuto
ffuchiyaki,fushimu,fuchiyaki,0,mosu,nohetsunu
shakayu,sosokuma,hakayu,0,kofukare,nohetsunu,more
ttatayona,tohoke,tatayona,0,fuyano
nhiurake,nahe,hiurake,0,watsuhaa
sseko,shiteto,seko,0,hotsuwako
kmin,kitsuyuto,min,0,hotsuwako
nanroni,nseyuro,anroni,0,fuyano
stsuwahiko,sumea,tsuwahiko,0,more
rneroi,rano,neroi,0,mosu,mosu,nohetsunu
mmimea,mase,mimea,0,mosu
sfukon,seminu,fukon,0,fuyano
kyuman,kuhoyoma,yuman,0,fuyano
hrusahi,hamumi,rusahi,0,more
steta,sumamu,teta,0,numuto
mhonu,maresui,honu,0,fuyano
rukokimo,rushihose,ukokimo,0,karinimi
okiwa,oraku,kiwa,0,numuto
rmumo,rako,mumo,0,numuto
shayo,soyuse,hayo,0,kofukare
nkeretome,noma,keretome,0,nohetsunu
nnayashi,nashikusa,nayashi,0,honokuka,hotsuwako
hreu,hara,reu,0,nohetsunu
ehekao,efu,hekao,0,fuyano
fosa,funoni,osa,0,karinimi
krinee,kisone,rinee,0,honokuka
einofuko,erima,inofuko,0,numuto
knuchi,kukike,nuchi,0,nohetsunu
nnkonu,nesahamu,nkonu,0,honokuka
sememomu,shiso,ememomu,0,karinimi,numuto
tsuanu,tou,suanu,0,more
mniho,muki,niho,0,mosu
rrose,rusoito,rose,0,karinimi
rmateheke,rerike,mateheke,0,fuyano,kofukare
sato,sehohesu,ato,0,honokuka
htsuyo,heku,tsuyo,0,fuyano
hmototsu,hanaya,mototsu,0,kofukare
musemoke,mekokano,usemoke,0,nohetsunu
nninuma,nii,ninuma,0,numuto
rhinio,rau,hinio,0,more
ysaru,yuhanuki,saru,0,nohetsunu
frinuta,fuso,rinuta,0,more
ymoruyome,yoahehe,moruyome,0,more
srore,sonoyone,rore,0,numuto
themaeyu,toku,hemaeyu,0,nohetsunu,mosu
nkoune,nku,koune,0,honokuka
ktoke,ketaumu,toke,0,watsuhaa
tmisesama,teshiu,misesama,0,karinimi
nteoko,ntsuwafu,teoko,0,kofukare
ytaruma,yaro,taruma,0,watsuhaa
ynemetsuu,yomaru,nemetsuu,0,fuyano
snne,somayaru,nne,0,numuto
skichimu,suta,kichimu,0,hotsuwako
niro,niyuyo,iro,0,watsuhaa
crowarore,chitsuso,rowarore,0,hotsuwako
mwahosaku,mukeha,wahosaku,0,honokuka
hhirorote,hemeta,hirorote,0,nohetsunu
nnokan,nikoriki,nokan,0,numuto
ttsusae,totsu,tsusae,0,nohetsunu
tnufu,tsusohimu,nufu,0,watsuhaa,karinimi
amao,aromu,mao,0,fuyano
msakutesu,mauehe,sakutesu,0,nohetsunu
hyoraruru,haaere,yoraruru,0,karinimi
skemi,suho,kemi,0,more,karinimi
rfukasu,roso,fukasu,0,honokuka
ntonake,nota,tonake,0,kofukare
kyanri,kahatea,yanri,0,numuto
